id_notificacion_sistema,titulo,modulo,tipo_error,mensaje,detalles,fecha_creacion,resuelto,fecha_resolucion,id_usuario_resolvio
85,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 475ms,[object Object],2026-04-01 16:00:00,1,,
86,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 512ms,[object Object],2026-04-01 17:00:00,1,,
87,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 582ms,[object Object],2026-04-01 18:00:00,1,,
88,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 601ms,[object Object],2026-04-01 19:00:00,1,,
89,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 538ms,[object Object],2026-04-01 20:00:00,1,,
90,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 542ms,[object Object],2026-04-01 21:00:00,1,,
91,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 448ms,[object Object],2026-04-01 21:56:58,1,,
92,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 486ms,[object Object],2026-04-01 22:00:00,1,,
93,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 470ms,[object Object],2026-04-01 22:30:29,1,,
94,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 556ms,[object Object],2026-04-01 23:00:00,1,,
95,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 495ms,[object Object],2026-04-02 00:00:00,1,,
96,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 896ms,[object Object],2026-04-02 01:00:00,1,,
97,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 462ms,[object Object],2026-04-02 15:00:00,1,,
98,[INFO] Evento de sistema,CARTERA_SCHEDULER,INFO,Proceso automático completado en 705ms,[object Object],2026-04-02 16:00:00,1,,
