id_alerta_procedida,codigo_alerta,severidad,mensaje,detalle,contexto,id_movimiento,id_ahorro,id_cliente,id_prestamo,id_usuario,fecha_evento,fecha_movimiento_referencia,ip_origen
230,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],retiro_grupal,4438,474,11112954121,,111113612603105,2026-07-15 19:29:09,2026-07-15,84.17.44.226
231,LOAN_NOT_RELEASED,warning,El préstamo #2059 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_grupal,4440,310,11112823381,2059,111113612603105,2026-07-15 19:37:41,2026-07-15,84.17.44.228
232,LOAN_NOT_RELEASED,warning,El préstamo #2052 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_individual,4443,274,11112714005,2052,111113612603105,2026-07-15 19:46:27,2026-07-15,84.17.44.228
233,LOAN_NOT_RELEASED,warning,El préstamo #2028 aún no está en ventana de renovación para retiro de garantía.,[object Object],retiro_individual,4444,155,11112781039,2028,111113612603105,2026-07-15 19:48:33,2026-07-15,84.17.44.228
234,LOAN_NOT_RELEASED,warning,El préstamo #2028 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4444,155,11112781039,2028,111113612603105,2026-07-20 17:45:14,2026-07-15,84.17.44.227
235,LOAN_NOT_RELEASED,warning,El préstamo #2052 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4443,274,11112714005,2052,111113612603105,2026-07-20 17:45:21,2026-07-15,84.17.44.227
236,LOAN_NOT_RELEASED,warning,El préstamo #2059 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4440,310,11112823381,2059,111113612603105,2026-07-20 17:45:28,2026-07-15,84.17.44.227
237,SALIDA_SIN_PRESTAMO,warning,No se pudo vincular la salida a un préstamo vigente en la fecha indicada.,[object Object],confirmacion_movimiento,4438,474,11112954121,,111113612603105,2026-07-20 17:45:35,2026-07-15,84.17.44.227
238,LOAN_NOT_RELEASED,warning,El préstamo #2057 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4437,426,11112897851,2057,111113612603105,2026-07-20 17:45:41,2026-07-15,84.17.44.227
239,LOAN_NOT_RELEASED,warning,El préstamo #2021 aún no está en ventana de renovación para retiro de garantía.,[object Object],confirmacion_movimiento,4431,164,11113045113,2021,111113612603105,2026-07-20 17:45:47,2026-07-15,84.17.44.227
