id_detalle,id_mora_centro,id_cliente,pago_cliente,porcentaje_participacion,monto_multa_cliente,total_a_pagar_cliente,fecha_creacion
76,16,11113022524,588.00,0.1690,1293.60,1881.60,2026-04-13 16:43:52
77,16,11113101306,588.00,0.1690,1293.60,1881.60,2026-04-13 16:43:52
79,17,11112899272,640.00,0.3893,1408.00,2048.00,2026-04-14 02:00:00
80,17,11112922068,416.00,0.2531,915.20,1331.20,2026-04-14 02:00:00
81,17,11112985973,587.90,0.3576,1293.38,1881.28,2026-04-14 02:00:00
82,18,11112931340,399.90,1.0000,879.78,1279.68,2026-04-15 02:00:00
83,19,11112623811,480.00,0.1310,1056.00,1536.00,2026-04-16 02:00:00
84,19,11112871315,720.00,0.1965,1584.00,2304.00,2026-04-16 02:00:00
85,19,11112932017,300.00,0.0819,660.00,960.00,2026-04-16 02:00:00
86,19,11113005731,720.00,0.1965,1584.00,2304.00,2026-04-16 02:00:00
87,19,11113029053,1444.50,0.3942,3177.90,4622.40,2026-04-16 02:00:00
132,20,11112925822,587.90,0.3798,1293.38,1881.28,2026-04-17 18:55:38
133,20,11113005693,480.00,0.3101,1056.00,1536.00,2026-04-17 18:55:38
134,20,11113139475,480.00,0.3101,1056.00,1536.00,2026-04-17 18:55:38
149,21,11112658700,588.00,0.1690,1293.60,1881.60,2026-04-20 15:30:11
150,21,11112748267,588.00,0.1690,1293.60,1881.60,2026-04-20 15:30:11
151,21,11112754934,588.00,0.1690,1293.60,1881.60,2026-04-20 15:30:11
152,21,11112777895,540.00,0.1552,1188.00,1728.00,2026-04-20 15:30:11
153,21,11113022524,588.00,0.1690,1293.60,1881.60,2026-04-20 15:30:11
154,21,11113101306,588.00,0.1690,1293.60,1881.60,2026-04-20 15:30:11
156,22,11112899272,640.00,0.2640,1408.00,2048.00,2026-04-21 02:00:00
157,22,11112919810,779.90,0.3218,1715.78,2495.68,2026-04-21 02:00:00
158,22,11112922068,416.00,0.1716,915.20,1331.20,2026-04-21 02:00:00
159,22,11112985973,587.90,0.2426,1293.38,1881.28,2026-04-21 02:00:00
165,23,11112714868,587.90,0.1750,1293.38,1881.28,2026-04-22 18:12:41
166,23,11112739079,420.00,0.1250,924.00,1344.00,2026-04-22 18:12:41
167,23,11112816934,587.90,0.1750,1293.38,1881.28,2026-04-22 18:12:41
168,23,11112937194,587.90,0.1750,1293.38,1881.28,2026-04-22 18:12:41
169,23,11113112747,587.90,0.1750,1293.38,1881.28,2026-04-22 18:12:41
170,23,11113182605,587.90,0.1750,1293.38,1881.28,2026-04-22 18:12:41
172,24,11112623811,480.00,0.1630,1056.00,1536.00,2026-04-23 02:00:00
173,24,11112871315,720.00,0.2445,1584.00,2304.00,2026-04-23 02:00:00
174,24,11112932017,300.00,0.1019,660.00,960.00,2026-04-23 02:00:00
175,24,11113029053,1444.50,0.4906,3177.90,4622.40,2026-04-23 02:00:00
185,25,11112922583,587.90,0.1828,1293.38,1881.28,2026-04-24 14:24:48
186,25,11112925822,587.90,0.1828,1293.38,1881.28,2026-04-24 14:24:48
187,25,11112939687,779.90,0.2425,1715.78,2495.68,2026-04-24 14:24:48
188,25,11113005693,480.00,0.1493,1056.00,1536.00,2026-04-24 14:24:48
189,25,11113139475,480.00,0.1493,1056.00,1536.00,2026-04-24 14:24:48
190,25,11113315176,299.90,0.0933,659.78,959.68,2026-04-24 14:24:48
244,26,11112658700,588.00,0.1690,1293.60,1881.60,2026-04-27 16:29:52
245,26,11112748267,588.00,0.1690,1293.60,1881.60,2026-04-27 16:29:52
246,26,11112754934,588.00,0.1690,1293.60,1881.60,2026-04-27 16:29:52
247,26,11112777895,540.00,0.1552,1188.00,1728.00,2026-04-27 16:29:52
248,26,11113022524,588.00,0.1690,1293.60,1881.60,2026-04-27 16:29:52
249,26,11113101306,588.00,0.1690,1293.60,1881.60,2026-04-27 16:29:52
251,27,11112899272,640.00,0.2251,1408.00,2048.00,2026-04-28 02:00:00
252,27,11112919810,779.90,0.2742,1715.78,2495.68,2026-04-28 02:00:00
253,27,11112922068,416.00,0.1463,915.20,1331.20,2026-04-28 02:00:00
254,27,11112938595,420.00,0.1477,924.00,1344.00,2026-04-28 02:00:00
255,27,11112985973,587.90,0.2067,1293.38,1881.28,2026-04-28 02:00:00
258,28,11112805333,705.60,0.5000,1552.32,2257.92,2026-04-29 02:00:00
259,28,11113098291,705.60,0.5000,1552.32,2257.92,2026-04-29 02:00:00
267,29,11112918349,779.90,0.1817,1715.78,2495.68,2026-04-30 13:57:26
268,29,11112973962,779.90,0.1817,1715.78,2495.68,2026-04-30 13:57:26
269,29,11113053166,719.90,0.1677,1583.78,2303.68,2026-04-30 13:57:26
270,29,11113117861,719.90,0.1677,1583.78,2303.68,2026-04-30 13:57:26
271,29,11113209269,399.90,0.0932,879.78,1279.68,2026-04-30 13:57:26
272,29,11113299859,893.00,0.2080,1964.60,2857.60,2026-04-30 13:57:26
