id_archivo,url,nombre_archivo,tipo,origen,tamano_bytes,estatus,id_usuario,fecha_generacion,metadata
42,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260411160254_240.pdf,Prestamos/pagare_grupal/111113612004634_20260411160254_240.pdf,PAGARE_GRUPAL,PRESTAMOS,70229,Generado,111113612004634,2026-04-11 16:02:55,[object Object]
43,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260411161247_327.pdf,Prestamos/pagare_grupal/111113612004634_20260411161247_327.pdf,PAGARE_GRUPAL,PRESTAMOS,70235,Generado,111113612004634,2026-04-11 16:12:47,[object Object]
44,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260411162145_564.pdf,Prestamos/pagare_grupal/111113612004634_20260411162145_564.pdf,PAGARE_GRUPAL,PRESTAMOS,70196,Generado,111113612004634,2026-04-11 16:21:46,[object Object]
45,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260411184835_481.pdf,Prestamos/pagare_grupal/111113612004634_20260411184835_481.pdf,PAGARE_GRUPAL,PRESTAMOS,70238,Generado,111113612004634,2026-04-11 18:48:36,[object Object]
46,https://fooaxstorage.sfo3.digitaloceanspaces.com/Prestamos/pagare_grupal/111113612004634_20260411185143_693.pdf,Prestamos/pagare_grupal/111113612004634_20260411185143_693.pdf,PAGARE_GRUPAL,PRESTAMOS,70188,Generado,111113612004634,2026-04-11 18:51:44,[object Object]
47,https://fooaxstorage.sfo3.digitaloceanspaces.com/Ahorros/retiro_grupal/111113612603105_20260413154559_585.pdf,Ahorros/retiro_grupal/111113612603105_20260413154559_585.pdf,RETIRO_AHORRO_GRUPAL,AHORROS,140339,Generado,111113612603105,2026-04-13 15:45:59,[object Object]
48,https://fooaxstorage.sfo3.digitaloceanspaces.com/Ahorros/retiro_grupal/111113612603105_20260413161647_90.pdf,Ahorros/retiro_grupal/111113612603105_20260413161647_90.pdf,RETIRO_AHORRO_GRUPAL,AHORROS,140352,Generado,111113612603105,2026-04-13 16:16:47,[object Object]
49,https://fooaxstorage.sfo3.digitaloceanspaces.com/Ahorros/retiro_grupal/111113612603105_20260413162239_847.pdf,Ahorros/retiro_grupal/111113612603105_20260413162239_847.pdf,RETIRO_AHORRO_GRUPAL,AHORROS,140431,Generado,111113612603105,2026-04-13 16:22:40,[object Object]
50,https://fooaxstorage.sfo3.digitaloceanspaces.com/Ahorros/retiro_individual/111113612603105_20260413163319_425.pdf,Ahorros/retiro_individual/111113612603105_20260413163319_425.pdf,RETIRO_AHORRO_INDIVIDUAL,AHORROS,140404,Generado,111113612603105,2026-04-13 16:33:19,[object Object]
51,https://fooaxstorage.sfo3.digitaloceanspaces.com/Ahorros/retiro_individual/111113612603105_20260413165735_977.pdf,Ahorros/retiro_individual/111113612603105_20260413165735_977.pdf,RETIRO_AHORRO_INDIVIDUAL,AHORROS,140406,Generado,111113612603105,2026-04-13 16:57:36,[object Object]
52,https://fooaxstorage.sfo3.digitaloceanspaces.com/Ahorros/retiro_grupal/111113612603105_20260413171434_581.pdf,Ahorros/retiro_grupal/111113612603105_20260413171434_581.pdf,RETIRO_AHORRO_GRUPAL,AHORROS,140314,Generado,111113612603105,2026-04-13 17:14:35,[object Object]
53,https://fooaxstorage.sfo3.digitaloceanspaces.com/Ahorros/retiro_grupal/111113612603105_20260413180705_191.pdf,Ahorros/retiro_grupal/111113612603105_20260413180705_191.pdf,RETIRO_AHORRO_GRUPAL,AHORROS,140920,Generado,111113612603105,2026-04-13 18:07:06,[object Object]
54,https://fooaxstorage.sfo3.digitaloceanspaces.com/Ahorros/retiro_grupal/111113612603105_20260413182422_413.pdf,Ahorros/retiro_grupal/111113612603105_20260413182422_413.pdf,RETIRO_AHORRO_GRUPAL,AHORROS,140332,Generado,111113612603105,2026-04-13 18:24:22,[object Object]
